passportArea/name,passportArea/id,passportArea/alpha3code,passportArea/alpha2code,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role/code2,role/code3,role/name,birthArea/name,birthArea/id,birthArea/alpha3code,birthArea/alpha2code,wyId,foot,shortName,currentNationalTeamId
Germany,276,DEU,DE,79,Dominik,,Kohr,2446,31/01/1994,183,MD,MID,Midfielder,Germany,276,DEU,DE,165425,right,D. Kohr,null
Poland,616,POL,PL,75,Piotr,,Zieli\u0144ski,3187,20/05/1994,180,MD,MID,Midfielder,Poland,616,POL,PL,99902,right,P. Zieli\u0144ski,13869
Brazil,76,BRA,BR,77,Jemerson,,de Jesus Nascimento,19830,24/08/1992,184,DF,DEF,Defender,Brazil,76,BRA,BR,263766,right,Jemerson,null
Congo DR,180,COD,CD,72,Youri,,Tielemans,19830,07/05/1997,176,MD,MID,Midfielder,Belgium,56,BEL,BE,263802,right,Y. Tielemans,5629
Belgium,56,BEL,BE,80,Timothy,,Castagne,3172,05/12/1995,185,DF,DEF,Defender,Belgium,56,BEL,BE,263803,right,T. Castagne,null
Ghana,288,GHA,GH,71,Kenny,,Tete,3766,09/10/1995,180,DF,DEF,Defender,Netherlands,528,NLD,NL,1712,right,K. Tete,664
Denmark,208,DNK,DK,71,Viktor,,Fischer,7452,09/06/1994,180,FW,FWD,Forward,Denmark,208,DNK,DK,1722,right,V. Fischer,7712
Cura\u00e7ao,531,CUW,CW,74,Riechedly,,Bazoer,2451,12/10/1996,184,MD,MID,Midfielder,Netherlands,528,NLD,NL,1729,right,R. Bazoer,670
Morocco,504,MAR,MA,80,Oussama,,Tannane,3782,23/03/1994,177,FW,FWD,Forward,Netherlands,528,NLD,NL,1751,left,O. Tannane,null
Congo DR,180,COD,CD,67,Presnel,,Kimpembe,3767,13/08/1995,183,DF,DEF,Defender,France,250,FRA,FR,231138,left,P. Kimpembe,4418
France,250,FRA,FR,71,Kingsley,,Coman,2444,13/06/1996,178,FW,FWD,Forward,France,250,FRA,FR,231139,right,K. Coman,null
Brazil,76,BRA,BR,73,Gabriel,,Barbosa Almeida,5655,30/08/1996,178,FW,FWD,Forward,Brazil,76,BRA,BR,263948,left,Gabigol,null
Mauritania,478,MRT,MR,71,Mamadou,,Sissako,3795,20/04/1996,171,FW,FWD,Forward,France,250,FRA,FR,231184,right,M. Sissako,null
Turkey,792,TUR,TR,71,\u015eener,,\u00d6zbayrakl\u0131,4487,23/01/1990,171,DF,DEF,Defender,Turkey,792,TUR,TR,34592,right,\u015e. \u00d6zbayrakl\u0131,null
Russia,643,RUS,RU,86,Andrey,,Semenov,13898,24/03/1989,190,DF,DEF,Defender,Russia,643,RUS,RU,102629,right,A. Semenov,14358
France,250,FRA,FR,71,Yoel,,Armougom,3783,05/06/1998,173,DF,DEF,Defender,Reunion,638,REU,RE,493412,left,Y. Armougom,null
C\u00f4te d'Ivoire,384,CIV,CI,70,K\u00e9vin Lucien,,Zohi,3779,19/12/1996,177,FW,FWD,Forward,C\u00f4te d'Ivoire,384,CIV,CI,493415,right,K. Zohi,null
Spain,724,ESP,ES,79,Igor,,Zubeld\u00eda Elorza,687,30/03/1997,180,MD,MID,Midfielder,Spain,724,ESP,ES,395114,right,Zubeld\u00eda,1604
New Caledonia,540,NCL,NC,74,George,,Gope-Fenepej,3789,23/10/1988,182,FW,FWD,Forward,New Caledonia,540,NCL,NC,132972,right,G. Gope-Fenepej,null
Italy,380,ITA,IT,80,Pierluigi,,Gollini,3172,18/03/1995,188,GK,GKP,Goalkeeper,Italy,380,ITA,IT,264084,right,P. Gollini,null
Spain,724,ESP,ES,78,Ezequiel,,Ponce Mart\u00ednez,3776,29/03/1997,178,FW,FWD,Forward,Argentina,32,ARG,AR,284322,right,E. Ponce,12281
Italy,380,ITA,IT,70,Enrico,,Bearzotti,3194,20/10/1996,180,MD,MID,Midfielder,Italy,380,ITA,IT,388099,right,E. Bearzotti,null
Italy,380,ITA,IT,90,Emiliano,,Viviano,3164,01/12/1985,195,GK,GKP,Goalkeeper,Italy,380,ITA,IT,20802,left,E. Viviano,null
Uruguay,858,URY,UY,87,Maximiliano,,G\u00f3mez Gonz\u00e1lez,692,14/08/1996,186,FW,FWD,Forward,Uruguay,858,URY,UY,395636,right,Maxi G\u00f3mez,15670
Mauritania,478,MRT,MR,79,Moctar El Hacen,,El Id,695,31/12/1997,181,MD,MID,Midfielder,Mauritania,478,MRT,MR,264778,right,M. El Id,null
Albania,8,ALB,AL,78,Thomas,,Strakosha,3162,19/03/1995,186,GK,GKP,Goalkeeper,Greece,300,GRC,GR,166534,right,T. Strakosha,null
France,250,FRA,FR,78,Marcus,,Coco,3785,24/06/1996,184,MD,MID,Midfielder,Guadeloupe,312,GLP,GP,330387,right,M. Coco,null
Finland,246,FIN,FI,83,Joel,,Pohjanpalo,2446,13/09/1994,185,FW,FWD,Forward,Finland,246,FIN,FI,35477,right,J. Pohjanpalo,4849
Peru,604,PER,PE,67,Miguel \u00c1ngel,,Trauco Saavedra,5654,25/08/1992,175,DF,DEF,Defender,Peru,604,PER,PE,115146,left,M. Trauco,15594
France,250,FRA,FR,72,Vincent,,Laurini,3176,10/06/1989,173,DF,DEF,Defender,France,250,FRA,FR,22313,right,V. Laurini,null
Congo DR,180,COD,CD,67,Firmin Ndombe,,Mubele,3780,17/04/1994,170,FW,FWD,Forward,Congo DR,180,COD,CD,264989,right,F. Mubele,18538
Czech Republic,203,CZE,CZ,86,Anton\u00edn,,Bar\u00e1k,3163,03/12/1994,190,MD,MID,Midfielder,Czech Republic,203,CZE,CZ,265172,left,A. Bar\u00e1k,11555
Nigeria,566,NGA,NG,85,Manuel,,Akanji,2447,19/07/1995,187,DF,DEF,Defender,Switzerland,756,CHE,CH,297957,right,M. Akanji,6697
Spain,724,ESP,ES,67,Samuel ,,Castillejo Azuaga,682,18/01/1995,182,MD,MID,Midfielder,Spain,724,ESP,ES,134174,left,Samu Castillejo,null
Serbia,688,SRB,RS,82,Filip,,Manojlovi\u0107,698,25/04/1996,197,GK,GKP,Goalkeeper,Serbia,688,SRB,RS,363560,right,F. Manojlovi\u0107,32344
Spain,724,ESP,ES,73,Rub\u00e9n,,Sobrino Pozuelo,696,16/02/1992,185,FW,FWD,Forward,Spain,724,ESP,ES,134249,right,Rub\u00e9n Sobrino,null
Russia,643,RUS,RU,87,Vasili,,Berezutski,,20/06/1982,189,DF,DEF,Defender,Russia,643,RUS,RU,101581,right,V. Berezutski,null
Paraguay,600,PRY,PY,65,Julio C\u00e9sar,,Villalba Gaona,2454,11/09/1998,174,FW,FWD,Forward,Paraguay,600,PRY,PY,363648,right,J. Villalba,15519
Nigeria,566,NGA,NG,80,Onyinye Wilfred,,Ndidi,1631,16/12/1996,187,MD,MID,Midfielder,Nigeria,566,NGA,NG,265366,right,W. Ndidi,16823
Nigeria,566,NGA,NG,72,Abdullahi,,Shehu,4502,12/03/1993,181,DF,DEF,Defender,Nigeria,566,NGA,NG,265368,right,A. Shehu,16823
Slovakia,703,SVK,SK,70,Tom\u00e1\u0161,,Hubo\u010dan,4488,17/09/1985,184,DF,DEF,Defender,Slovakia,703,SVK,SK,101555,right,T. Hubo\u010dan,14496
Brazil,76,BRA,BR,83,Bruno Eduardo,,Regufe Alves,3160,27/11/1981,187,DF,DEF,Defender,Portugal,620,PRT,PT,101558,right,Bruno Alves,9905
Morocco,504,MAR,MA,68,Achraf,,Hakimi Mouh,2447,04/11/1998,179,DF,DEF,Defender,Spain,724,ESP,ES,396475,right,A. Hakimi,16216
Spain,724,ESP,ES,72,Eloi,,Amagat Arimany,756,21/05/1985,180,MD,MID,Midfielder,Spain,724,ESP,ES,167104,right,Eloi Amagat,null
Spain,724,ESP,ES,81,Vicente,,Guaita Panadero,698,10/01/1987,190,GK,GKP,Goalkeeper,Spain,724,ESP,ES,3267,right,Guaita,null
Spain,724,ESP,ES,68,Jordi,,Alba Ramos,676,21/03/1989,170,DF,DEF,Defender,Spain,724,ESP,ES,3269,left,Jordi Alba,1598
Spain,724,ESP,ES,76,Antonio,,Barrag\u00e1n Fern\u00e1ndez,684,12/06/1987,183,DF,DEF,Defender,Spain,724,ESP,ES,3270,right,Barrag\u00e1n,null
Russia,643,RUS,RU,82,Igor,,Akinfeev,13886,08/04/1986,186,GK,GKP,Goalkeeper,Russia,643,RUS,RU,101576,right,I. Akinfeev,14358
Morocco,504,MAR,MA,90,Adil,,Rami,3771,27/12/1985,190,DF,DEF,Defender,France,250,FRA,FR,3276,right,A. Rami,4418
Spain,724,ESP,ES,78,V\u00edctor,,Ru\u00edz Torre,682,25/01/1989,185,DF,DEF,Defender,Spain,724,ESP,ES,3277,left,V\u00edctor Ru\u00edz,null
Spain,724,ESP,ES,75,Sabin,,Merino Zuloaga,678,04/01/1992,187,FW,FWD,Forward,Spain,724,ESP,ES,167119,right,Sabin Merino,null
Spain,724,ESP,ES,71,\u00c9ver Maximiliano David,,Banega,680,29/06/1988,174,MD,MID,Midfielder,Argentina,32,ARG,AR,3280,right,\u00c9. Banega,12274
Spain,724,ESP,ES,67,Juan,,Bernat Velasco,2444,01/03/1993,170,DF,DEF,Defender,Spain,724,ESP,ES,3281,left,Juan Bernat,null
Spain,724,ESP,ES,74,Sergio,,Canales Madrazo,687,16/02/1991,180,MD,MID,Midfielder,Spain,724,ESP,ES,3282,left,Canales,null
Spain,724,ESP,ES,74,Daniel,,Parejo Mu\u00f1oz,674,16/04/1989,182,MD,MID,Midfielder,Spain,724,ESP,ES,3286,right,Dani Parejo,null
Spain,724,ESP,ES,75,Cristian,,Portugu\u00e9s Manzanera,756,21/05/1992,178,MD,MID,Midfielder,Spain,724,ESP,ES,3287,right,Portu,null
